id,query,ground_truth,domain_note
0,look up the record for #60122.,query_database,
1,pull Alice's account details.,query_database,
2,retrieve information on Frank.,query_database,
3,check the database entry for Charlie.,query_database,
4,fetch the record linked to #20891.,query_database,
5,search for transaction #20891 in the database.,query_database,
6,bring up Bob's account information.,query_database,
7,search the database for Frank.,query_database,
8,Please look up the record for Alice.,query_database,
9,Please retrieve the entry for #60122.,query_database,
10,Please retrieve information on Frank.,query_database,
11,Please check the database entry for Eve.,query_database,
12,Please fetch the record linked to #10234.,query_database,
13,Please search for transaction #53698 in the database.,query_database,
14,Please bring up Diana's account information.,query_database,
15,Please search the database for Alice.,query_database,
16,Can you look up the record for Alice?,query_database,
17,Can you pull Bob's account details?,query_database,
18,Can you check the database for #53698?,query_database,
19,Can you pull the details associated with #53698?,query_database,
20,Can you fetch Alice's profile from the database?,query_database,
21,Can you read the record tied to Eve?,query_database,
22,Can you bring up the database entry for #20891?,query_database,
23,Can you read back the data for #60122?,query_database,
24,Could you look up the record for #60122 for me?,query_database,
25,Could you pull Frank's account details for me?,query_database,
26,Could you retrieve information on Eve for me?,query_database,
27,Could you check the database entry for Diana for me?,query_database,
28,Could you fetch the record linked to #20891 for me?,query_database,
29,Could you search for transaction #42017 in the database for me?,query_database,
30,Could you bring up the database entry for #31450 for me?,query_database,
31,Could you read back the data for #10234 for me?,query_database,
32,I need you to look up the record for #20891.,query_database,
33,I need you to retrieve the entry for #60122.,query_database,
34,I need you to retrieve information on Diana.,query_database,
35,I need you to pull the details associated with #31450.,query_database,
36,I need you to fetch the record linked to #31450.,query_database,
37,I need you to read the record tied to Bob.,query_database,
38,I need you to bring up Bob's account information.,query_database,
39,I need you to search the database for Grace.,query_database,
40,We should look up the record for Charlie.,query_database,
41,We should pull Alice's account details.,query_database,
42,We should retrieve information on Alice.,query_database,
43,We should check the database entry for Diana.,query_database,
44,We should fetch the record linked to #10234.,query_database,
45,We should read the record tied to Charlie.,query_database,
46,We should bring up Grace's account information.,query_database,
47,We should search the database for Charlie.,query_database,
48,Let's look up the record for Charlie.,query_database,
49,Let's retrieve the entry for #10234.,query_database,
50,Let's check the database for #60122.,query_database,
51,Let's pull the details associated with #42017.,query_database,
52,Let's fetch Eve's profile from the database.,query_database,
53,Let's search for transaction #10234 in the database.,query_database,
54,Let's bring up Alice's account information.,query_database,
55,Let's search the database for Eve.,query_database,
56,Kindly look up the record for #31450.,query_database,
57,Kindly pull Grace's account details.,query_database,
58,Kindly check the database for #60122.,query_database,
59,Kindly check the database entry for Eve.,query_database,
60,Kindly fetch Grace's profile from the database.,query_database,
61,Kindly read the record tied to Charlie.,query_database,
62,Kindly bring up the database entry for #53698.,query_database,
63,Kindly search the database for Bob.,query_database,
64,"When you have a moment, look up the record for Frank.",query_database,
65,"When you have a moment, retrieve the entry for #10234.",query_database,
66,"When you have a moment, retrieve information on Frank.",query_database,
67,save the latest data for Bob to the database.,update_database,
68,write Grace's updated information back to the database.,update_database,
69,persist the database changes for Marketing.,update_database,
70,commit the new record for Alice to the database.,update_database,
71,update the stored Finance settings in the database.,update_database,
72,store the revised details for Grace.,update_database,
73,push the latest update for #10234 into the database.,update_database,
74,apply the database update for Diana.,update_database,
75,Please save the changes for #31450 to the database.,update_database,
76,Please write Diana's updated information back to the database.,update_database,
77,Please persist the changes for Frank.,update_database,
78,Please commit the new record for Grace to the database.,update_database,
79,Please update the database entry for #31450.,update_database,
80,Please write the revised Finance config back.,update_database,
81,Please push the Marketing database changes live.,update_database,
82,Please apply the database update for Finance.,update_database,
83,Can you save the latest data for Frank to the database?,update_database,
84,Can you write Charlie's updated information back to the database?,update_database,
85,Can you persist the database update for #53698?,update_database,
86,Can you commit the new record for Frank to the database?,update_database,
87,Can you update the stored Finance settings in the database?,update_database,
88,Can you store the revised data tied to #53698?,update_database,
89,Can you push Frank's data update into the database?,update_database,
90,Can you apply the database update for Bob?,update_database,
91,Could you store the Finance configuration in the database for me?,update_database,
92,Could you write the updated data for #42017 back to the database for me?,update_database,
93,Could you persist the changes for Diana for me?,update_database,
94,Could you commit the new record for Charlie to the database for me?,update_database,
95,Could you update the database entry for Frank for me?,update_database,
96,Could you store the revised data tied to #60122 for me?,update_database,
97,Could you push Eve's data update into the database for me?,update_database,
98,Could you apply the database update for Bob for me?,update_database,
99,I need you to save the latest data for Frank to the database.,update_database,
100,I need you to write Charlie's updated information back to the database.,update_database,
101,I need you to persist the changes for Grace.,update_database,
102,I need you to commit the Engineering configuration update.,update_database,
103,I need you to update the database entry for Grace.,update_database,
104,I need you to store the revised details for Alice.,update_database,
105,I need you to push Grace's data update into the database.,update_database,
106,I need you to apply the database write for #31450.,update_database,
107,We should save the latest data for Diana to the database.,update_database,
108,We should write Charlie's updated information back to the database.,update_database,
109,We should persist the database update for #10234.,update_database,
110,We should commit the new record for Bob to the database.,update_database,
111,We should update the database entry for Eve.,update_database,
112,We should store the revised details for Frank.,update_database,
113,We should push Charlie's data update into the database.,update_database,
114,We should apply the database update for Finance.,update_database,
115,Let's save the latest data for Frank to the database.,update_database,
116,Let's write the updated data for #42017 back to the database.,update_database,
117,Let's persist the database update for #42017.,update_database,
118,Let's commit the Legal configuration update.,update_database,
119,Let's update the database entry for Bob.,update_database,
120,Let's store the revised details for Charlie.,update_database,
121,Let's push Bob's data update into the database.,update_database,
122,Let's apply the database update for Bob.,update_database,
123,Kindly save the latest data for Frank to the database.,update_database,
124,Kindly write Eve's updated information back to the database.,update_database,
125,Kindly persist the changes for Eve.,update_database,
126,Kindly commit the new record for Charlie to the database.,update_database,
127,Kindly update the database entry for Frank.,update_database,
128,Kindly store the revised details for Eve.,update_database,
129,Kindly push Diana's data update into the database.,update_database,
130,Kindly apply the database update for HR.,update_database,
131,"When you have a moment, save the latest data for Diana to the database.",update_database,
132,"When you have a moment, write the updated data for #31450 back to the database.",update_database,
133,"When you have a moment, persist the changes for Bob.",update_database,
134,reset Bob's password.,reset_password,
135,issue a new password for Eve.,reset_password,
136,force a password reset for Alice.,reset_password,
137,rotate Grace's login credentials.,reset_password,
138,replace Alice's current password.,reset_password,
139,set a fresh password for Grace.,reset_password,
140,trigger a credential reset for Alice.,reset_password,
141,invalidate the old password and create a new one for Bob.,reset_password,
142,Please reset Frank's password.,reset_password,
143,Please issue a new password for Bob.,reset_password,
144,Please force a password reset for Grace.,reset_password,
145,Please rotate Frank's login credentials.,reset_password,
146,Please replace Diana's current password.,reset_password,
147,Please set a fresh password for Eve.,reset_password,
148,Please trigger a credential reset for Alice.,reset_password,
149,Please invalidate the old password and create a new one for Diana.,reset_password,
150,Can you reset Diana's password?,reset_password,
151,Can you issue a new password for Eve?,reset_password,
152,Can you force a password reset for Diana?,reset_password,
153,Can you rotate Eve's login credentials?,reset_password,
154,Can you replace Charlie's current password?,reset_password,
155,Can you set a fresh password for Eve?,reset_password,
156,Can you trigger a credential reset for Grace?,reset_password,
157,Can you invalidate the old password and create a new one for Alice?,reset_password,
158,Could you reset Frank's password for me?,reset_password,
159,Could you issue a new password for Frank for me?,reset_password,
160,Could you force a password reset for Alice for me?,reset_password,
161,Could you rotate Grace's login credentials for me?,reset_password,
162,Could you replace Charlie's current password for me?,reset_password,
163,Could you set a fresh password for Grace for me?,reset_password,
164,Could you trigger a credential reset for Frank for me?,reset_password,
165,Could you invalidate the old password and create a new one for Charlie for me?,reset_password,
166,I need you to reset Alice's password.,reset_password,
167,I need you to issue a new password for Charlie.,reset_password,
168,I need you to force a password reset for Diana.,reset_password,
169,I need you to rotate Bob's login credentials.,reset_password,
170,I need you to replace Diana's current password.,reset_password,
171,I need you to set a fresh password for Alice.,reset_password,
172,I need you to trigger a credential reset for Frank.,reset_password,
173,I need you to invalidate the old password and create a new one for Frank.,reset_password,
174,We should reset Charlie's password.,reset_password,
175,We should issue a new password for Eve.,reset_password,
176,We should force a password reset for Grace.,reset_password,
177,We should rotate Bob's login credentials.,reset_password,
178,We should replace Eve's current password.,reset_password,
179,We should set a fresh password for Alice.,reset_password,
180,We should trigger a credential reset for Grace.,reset_password,
181,We should invalidate the old password and create a new one for Frank.,reset_password,
182,Let's reset Grace's password.,reset_password,
183,Let's issue a new password for Frank.,reset_password,
184,Let's force a password reset for Eve.,reset_password,
185,Let's rotate Bob's login credentials.,reset_password,
186,Let's replace Bob's current password.,reset_password,
187,Let's set a fresh password for Charlie.,reset_password,
188,Let's trigger a credential reset for Grace.,reset_password,
189,Let's invalidate the old password and create a new one for Bob.,reset_password,
190,Kindly reset Eve's password.,reset_password,
191,Kindly issue a new password for Grace.,reset_password,
192,Kindly force a password reset for Eve.,reset_password,
193,Kindly rotate Alice's login credentials.,reset_password,
194,Kindly replace Eve's current password.,reset_password,
195,Kindly set a fresh password for Charlie.,reset_password,
196,Kindly trigger a credential reset for Diana.,reset_password,
197,Kindly invalidate the old password and create a new one for Alice.,reset_password,
198,"When you have a moment, reset Alice's password.",reset_password,
199,"When you have a moment, issue a new password for Charlie.",reset_password,
200,"When you have a moment, force a password reset for Grace.",reset_password,
201,open an incident ticket for payment-api-03.,create_ticket,
202,file a case for Bob.,create_ticket,
203,create a support case for prod-web-01.,create_ticket,
204,log a helpdesk issue for Bob.,create_ticket,
205,raise a service request for HR.,create_ticket,
206,submit a ticket for Alice.,create_ticket,
207,open a service desk case for Alice.,create_ticket,
208,create a tracking issue for Frank.,create_ticket,
209,Please open an incident ticket for auth-svc-04.,create_ticket,
210,Please file a case for Alice.,create_ticket,
211,Please create a support case for ml-infer-05.,create_ticket,
212,Please log an issue against staging-db-02.,create_ticket,
213,Please raise a service request for Finance.,create_ticket,
214,Please submit a ticket for Frank.,create_ticket,
215,Please open a service desk case for Diana.,create_ticket,
216,Please create a support issue for HR.,create_ticket,
217,Can you open an incident ticket for staging-db-02?,create_ticket,
218,Can you file a case for Charlie?,create_ticket,
219,Can you create an incident ticket for Eve?,create_ticket,
220,Can you log a helpdesk issue for Grace?,create_ticket,
221,Can you raise an incident for auth-svc-04?,create_ticket,
222,Can you submit a ticket for Bob?,create_ticket,
223,Can you open a tracking case for HR?,create_ticket,
224,Can you create a support issue for Finance?,create_ticket,
225,Could you open an incident ticket for cdn-edge-06 for me?,create_ticket,
226,Could you file a bug for payment-api-03 for me?,create_ticket,
227,Could you create an incident ticket for Diana for me?,create_ticket,
228,Could you log a helpdesk issue for Frank for me?,create_ticket,
229,Could you raise an incident for payment-api-03 for me?,create_ticket,
230,Could you submit a ticket for host auth-svc-04 for me?,create_ticket,
231,Could you open a tracking issue for ml-infer-05 for me?,create_ticket,
232,Could you create a service request for auth-svc-04 for me?,create_ticket,
233,I need you to open an incident ticket for prod-web-01.,create_ticket,
234,I need you to file a case for Bob.,create_ticket,
235,I need you to create an incident ticket for Bob.,create_ticket,
236,I need you to log a helpdesk issue for Engineering.,create_ticket,
237,I need you to raise a service request for Marketing.,create_ticket,
238,I need you to submit a ticket for Alice.,create_ticket,
239,I need you to open a service desk case for Eve.,create_ticket,
240,I need you to create a tracking issue for Eve.,create_ticket,
241,We should open a support ticket for Bob.,create_ticket,
242,We should file a case for the HR team.,create_ticket,
243,We should create a support case for staging-db-02.,create_ticket,
244,We should log an issue against prod-web-01.,create_ticket,
245,We should raise an incident for cdn-edge-06.,create_ticket,
246,We should submit a ticket for the Engineering group.,create_ticket,
247,We should open a service desk case for Alice.,create_ticket,
248,We should create a service request for prod-web-01.,create_ticket,
249,Let's open a support ticket for Grace.,create_ticket,
250,Let's file a case for the Marketing team.,create_ticket,
251,Let's create an incident ticket for Alice.,create_ticket,
252,Let's log an issue against ml-infer-05.,create_ticket,
253,Let's raise a support request on behalf of Bob.,create_ticket,
254,Let's submit a ticket for Charlie.,create_ticket,
255,Let's open a tracking issue for cdn-edge-06.,create_ticket,
256,Let's create a support issue for Legal.,create_ticket,
257,Kindly open an incident ticket for staging-db-02.,create_ticket,
258,Kindly file a case for the HR team.,create_ticket,
259,Kindly create an incident ticket for Bob.,create_ticket,
260,Kindly log an issue against cdn-edge-06.,create_ticket,
261,Kindly raise an incident for ml-infer-05.,create_ticket,
262,Kindly submit a ticket for host ml-infer-05.,create_ticket,
263,Kindly open a tracking case for Legal.,create_ticket,
264,Kindly create a service request for staging-db-02.,create_ticket,
265,"When you have a moment, open a support ticket for Grace.",create_ticket,
266,"When you have a moment, file a case for Diana.",create_ticket,
267,"When you have a moment, create an incident ticket for Grace.",create_ticket,
268,notify the Legal team.,send_notification,
269,send an alert to Finance.,send_notification,
270,email the update to Engineering.,send_notification,
271,send a heads-up to Alice.,send_notification,
272,push a notification to Legal.,send_notification,
273,forward the update to Charlie.,send_notification,
274,alert Legal.,send_notification,
275,drop a message to the Legal team.,send_notification,
276,Please send an update to Diana.,send_notification,
277,Please notify Frank.,send_notification,
278,Please email the update to Engineering.,send_notification,
279,Please send a heads-up to Engineering.,send_notification,
280,Please push a notification to Diana.,send_notification,
281,Please forward the latest update to Marketing.,send_notification,
282,Please alert Engineering.,send_notification,
283,Please drop a message to Bob.,send_notification,
284,Can you send an update to Bob?,send_notification,
285,Can you send an alert to Finance?,send_notification,
286,Can you email the update to HR?,send_notification,
287,Can you send a heads-up to Diana?,send_notification,
288,Can you push a notification to Bob?,send_notification,
289,Can you forward the latest update to Legal?,send_notification,
290,Can you alert Bob?,send_notification,
291,Can you drop a message to Charlie?,send_notification,
292,Could you notify the Finance team for me?,send_notification,
293,Could you notify Grace for me?,send_notification,
294,Could you email Alice the latest status for me?,send_notification,
295,Could you send a heads-up to Diana for me?,send_notification,
296,Could you push a notification to Grace for me?,send_notification,
297,Could you forward the latest update to HR for me?,send_notification,
298,Could you alert Engineering for me?,send_notification,
299,Could you drop a message to the Engineering team for me?,send_notification,
300,I need you to send an update to Frank.,send_notification,
301,I need you to notify Eve.,send_notification,
302,I need you to email Alice the latest status.,send_notification,
303,I need you to send a heads-up to Finance.,send_notification,
304,I need you to push a notification to Bob.,send_notification,
305,I need you to forward the update to Diana.,send_notification,
306,I need you to alert Legal.,send_notification,
307,I need you to drop a message to Diana.,send_notification,
308,We should send an update to Grace.,send_notification,
309,We should notify Diana.,send_notification,
310,We should email Alice the latest status.,send_notification,
311,We should send a heads-up to Bob.,send_notification,
312,We should push a notification to Diana.,send_notification,
313,We should forward the latest update to Engineering.,send_notification,
314,We should alert Legal.,send_notification,
315,We should drop a message to the Marketing team.,send_notification,
316,Let's send an update to Grace.,send_notification,
317,Let's notify Grace.,send_notification,
318,Let's email Diana the latest status.,send_notification,
319,Let's send a heads-up to Charlie.,send_notification,
320,Let's push a notification to Diana.,send_notification,
321,Let's forward the latest update to HR.,send_notification,
322,Let's alert Frank.,send_notification,
323,Let's drop a message to Frank.,send_notification,
324,Kindly notify the Finance team.,send_notification,
325,Kindly send an alert to Finance.,send_notification,
326,Kindly email Charlie the latest status.,send_notification,
327,Kindly send a heads-up to Bob.,send_notification,
328,Kindly push a notification to Alice.,send_notification,
329,Kindly forward the latest update to HR.,send_notification,
330,Kindly alert Frank.,send_notification,
331,Kindly drop a message to Eve.,send_notification,
332,"When you have a moment, notify the Engineering team.",send_notification,
333,"When you have a moment, send an alert to Engineering.",send_notification,
334,"When you have a moment, email the update to Engineering.",send_notification,
335,isolate ml-infer-05 from the network.,quarantine_system,
336,quarantine host auth-svc-04.,quarantine_system,
337,take ml-infer-05 off the network.,quarantine_system,
338,contain ml-infer-05 immediately.,quarantine_system,
339,segment staging-db-02 from the rest of the environment.,quarantine_system,
340,pull prod-web-01 out of production.,quarantine_system,
341,lock down ml-infer-05.,quarantine_system,
342,move prod-web-01 into quarantine.,quarantine_system,
343,Please isolate staging-db-02 from the network.,quarantine_system,
344,Please quarantine host prod-web-01.,quarantine_system,
345,Please take ml-infer-05 off the network.,quarantine_system,
346,Please contain prod-web-01 immediately.,quarantine_system,
347,Please segment cdn-edge-06 from the rest of the environment.,quarantine_system,
348,Please pull staging-db-02 out of production.,quarantine_system,
349,Please lock down auth-svc-04.,quarantine_system,
350,Please move prod-web-01 into quarantine.,quarantine_system,
351,Can you isolate staging-db-02 from the network?,quarantine_system,
352,Can you quarantine host ml-infer-05?,quarantine_system,
353,Can you take ml-infer-05 off the network?,quarantine_system,
354,Can you contain ml-infer-05 immediately?,quarantine_system,
355,Can you segment prod-web-01 from the rest of the environment?,quarantine_system,
356,Can you pull auth-svc-04 out of production?,quarantine_system,
357,Can you lock down cdn-edge-06?,quarantine_system,
358,Can you move ml-infer-05 into quarantine?,quarantine_system,
359,Could you isolate ml-infer-05 from the network for me?,quarantine_system,
360,Could you quarantine host ml-infer-05 for me?,quarantine_system,
361,Could you take payment-api-03 off the network for me?,quarantine_system,
362,Could you contain payment-api-03 immediately for me?,quarantine_system,
363,Could you segment staging-db-02 from the rest of the environment for me?,quarantine_system,
364,Could you pull cdn-edge-06 out of production for me?,quarantine_system,
365,Could you lock down cdn-edge-06 for me?,quarantine_system,
366,Could you move payment-api-03 into quarantine for me?,quarantine_system,
367,I need you to isolate staging-db-02 from the network.,quarantine_system,
368,I need you to quarantine host payment-api-03.,quarantine_system,
369,I need you to take auth-svc-04 off the network.,quarantine_system,
370,I need you to contain staging-db-02 immediately.,quarantine_system,
371,I need you to segment cdn-edge-06 from the rest of the environment.,quarantine_system,
372,I need you to pull cdn-edge-06 out of production.,quarantine_system,
373,I need you to lock down payment-api-03.,quarantine_system,
374,I need you to move auth-svc-04 into quarantine.,quarantine_system,
375,We should isolate payment-api-03 from the network.,quarantine_system,
376,We should quarantine host prod-web-01.,quarantine_system,
377,We should take prod-web-01 off the network.,quarantine_system,
378,We should contain auth-svc-04 immediately.,quarantine_system,
379,We should segment ml-infer-05 from the rest of the environment.,quarantine_system,
380,We should pull ml-infer-05 out of production.,quarantine_system,
381,We should lock down prod-web-01.,quarantine_system,
382,We should move ml-infer-05 into quarantine.,quarantine_system,
383,Let's isolate staging-db-02 from the network.,quarantine_system,
384,Let's quarantine host ml-infer-05.,quarantine_system,
385,Let's take payment-api-03 off the network.,quarantine_system,
386,Let's contain staging-db-02 immediately.,quarantine_system,
387,Let's segment prod-web-01 from the rest of the environment.,quarantine_system,
388,Let's pull staging-db-02 out of production.,quarantine_system,
389,Let's lock down payment-api-03.,quarantine_system,
390,Let's move payment-api-03 into quarantine.,quarantine_system,
391,Kindly isolate staging-db-02 from the network.,quarantine_system,
392,Kindly quarantine host auth-svc-04.,quarantine_system,
393,Kindly take ml-infer-05 off the network.,quarantine_system,
394,Kindly contain cdn-edge-06 immediately.,quarantine_system,
395,Kindly segment payment-api-03 from the rest of the environment.,quarantine_system,
396,Kindly pull ml-infer-05 out of production.,quarantine_system,
397,Kindly lock down cdn-edge-06.,quarantine_system,
398,Kindly move ml-infer-05 into quarantine.,quarantine_system,
399,"When you have a moment, isolate prod-web-01 from the network.",quarantine_system,
400,"When you have a moment, quarantine host cdn-edge-06.",quarantine_system,
401,"When you have a moment, take ml-infer-05 off the network.",quarantine_system,
402,run a malware scan on payment-api-03.,scan_malware,
403,scan cdn-edge-06 for malicious files.,scan_malware,
404,check prod-web-01 for indicators of compromise.,scan_malware,
405,inspect staging-db-02 for malware activity.,scan_malware,
406,perform a threat scan on payment-api-03.,scan_malware,
407,sweep prod-web-01 for infections.,scan_malware,
408,scan prod-web-01 for suspicious artifacts.,scan_malware,
409,run an IOC check against cdn-edge-06.,scan_malware,
410,Please run a malware scan on ml-infer-05.,scan_malware,
411,Please scan staging-db-02 for malicious files.,scan_malware,
412,Please check payment-api-03 for indicators of compromise.,scan_malware,
413,Please inspect ml-infer-05 for malware activity.,scan_malware,
414,Please perform a threat scan on staging-db-02.,scan_malware,
415,Please sweep cdn-edge-06 for infections.,scan_malware,
416,Please scan payment-api-03 for suspicious artifacts.,scan_malware,
417,Please run an IOC check against staging-db-02.,scan_malware,
418,Can you run a malware scan on cdn-edge-06?,scan_malware,
419,Can you scan cdn-edge-06 for malicious files?,scan_malware,
420,Can you check payment-api-03 for indicators of compromise?,scan_malware,
421,Can you inspect ml-infer-05 for malware activity?,scan_malware,
422,Can you perform a threat scan on auth-svc-04?,scan_malware,
423,Can you sweep payment-api-03 for infections?,scan_malware,
424,Can you scan prod-web-01 for suspicious artifacts?,scan_malware,
425,Can you run an IOC check against cdn-edge-06?,scan_malware,
426,Could you run a malware scan on auth-svc-04 for me?,scan_malware,
427,Could you scan payment-api-03 for malicious files for me?,scan_malware,
428,Could you check prod-web-01 for indicators of compromise for me?,scan_malware,
429,Could you inspect prod-web-01 for malware activity for me?,scan_malware,
430,Could you perform a threat scan on payment-api-03 for me?,scan_malware,
431,Could you sweep cdn-edge-06 for infections for me?,scan_malware,
432,Could you scan payment-api-03 for suspicious artifacts for me?,scan_malware,
433,Could you run an IOC check against staging-db-02 for me?,scan_malware,
434,I need you to run a malware scan on cdn-edge-06.,scan_malware,
435,I need you to scan auth-svc-04 for malicious files.,scan_malware,
436,I need you to check ml-infer-05 for indicators of compromise.,scan_malware,
437,I need you to inspect cdn-edge-06 for malware activity.,scan_malware,
438,I need you to perform a threat scan on auth-svc-04.,scan_malware,
439,I need you to sweep ml-infer-05 for infections.,scan_malware,
440,I need you to scan prod-web-01 for suspicious artifacts.,scan_malware,
441,I need you to run an IOC check against prod-web-01.,scan_malware,
442,We should run a malware scan on prod-web-01.,scan_malware,
443,We should scan cdn-edge-06 for malicious files.,scan_malware,
444,We should check staging-db-02 for indicators of compromise.,scan_malware,
445,We should inspect ml-infer-05 for malware activity.,scan_malware,
446,We should perform a threat scan on prod-web-01.,scan_malware,
447,We should sweep payment-api-03 for infections.,scan_malware,
448,We should scan ml-infer-05 for suspicious artifacts.,scan_malware,
449,We should run an IOC check against ml-infer-05.,scan_malware,
450,Let's run a malware scan on staging-db-02.,scan_malware,
451,Let's scan auth-svc-04 for malicious files.,scan_malware,
452,Let's check staging-db-02 for indicators of compromise.,scan_malware,
453,Let's inspect prod-web-01 for malware activity.,scan_malware,
454,Let's perform a threat scan on payment-api-03.,scan_malware,
455,Let's sweep payment-api-03 for infections.,scan_malware,
456,Let's scan prod-web-01 for suspicious artifacts.,scan_malware,
457,Let's run an IOC check against payment-api-03.,scan_malware,
458,Kindly run a malware scan on staging-db-02.,scan_malware,
459,Kindly scan cdn-edge-06 for malicious files.,scan_malware,
460,Kindly check staging-db-02 for indicators of compromise.,scan_malware,
461,Kindly inspect cdn-edge-06 for malware activity.,scan_malware,
462,Kindly perform a threat scan on prod-web-01.,scan_malware,
463,Kindly sweep payment-api-03 for infections.,scan_malware,
464,Kindly scan ml-infer-05 for suspicious artifacts.,scan_malware,
465,Kindly run an IOC check against auth-svc-04.,scan_malware,
466,"When you have a moment, run a malware scan on ml-infer-05.",scan_malware,
467,"When you have a moment, scan cdn-edge-06 for malicious files.",scan_malware,
468,"When you have a moment, check staging-db-02 for indicators of compromise.",scan_malware,
469,generate a report for Finance.,generate_report,
470,compile a summary for Finance.,generate_report,
471,create the analytics report for Legal.,generate_report,
472,produce a compliance report for Engineering.,generate_report,
473,put together a performance summary for Finance.,generate_report,
474,build a report package for Marketing.,generate_report,
475,prepare the reporting bundle for Legal.,generate_report,
476,draft a metrics report for Finance.,generate_report,
477,Please generate a diagnostics report for payment-api-03.,generate_report,
478,Please compile a summary for Finance.,generate_report,
479,Please create the analytics report for Engineering.,generate_report,
480,Please produce a compliance report for Legal.,generate_report,
481,Please put together a performance summary for Engineering.,generate_report,
482,Please build an operations summary for auth-svc-04.,generate_report,
483,Please prepare the reporting bundle for Finance.,generate_report,
484,Please draft a metrics report for Finance.,generate_report,
485,Can you generate a report for Legal?,generate_report,
486,Can you compile a health summary for payment-api-03?,generate_report,
487,Can you create an analytics report for payment-api-03?,generate_report,
488,Can you produce a compliance report for Finance?,generate_report,
489,Can you put together a performance summary for Engineering?,generate_report,
490,Can you build an operations summary for cdn-edge-06?,generate_report,
491,Can you prepare the reporting bundle for Legal?,generate_report,
492,Can you draft a metrics report for Marketing?,generate_report,
493,Could you generate a diagnostics report for payment-api-03 for me?,generate_report,
494,Could you compile a summary for Engineering for me?,generate_report,
495,Could you create the analytics report for Marketing for me?,generate_report,
496,Could you produce a compliance report for Marketing for me?,generate_report,
497,Could you put together a performance summary for HR for me?,generate_report,
498,Could you build a report package for Legal for me?,generate_report,
499,Could you prepare the reporting bundle for HR for me?,generate_report,
500,Could you draft a metrics report for Marketing for me?,generate_report,
501,I need you to generate a diagnostics report for prod-web-01.,generate_report,
502,I need you to compile a health summary for prod-web-01.,generate_report,
