id,query,ground_truth,domain_note
503,I need you to create the analytics report for Marketing.,generate_report,
504,I need you to produce a compliance report for Finance.,generate_report,
505,I need you to put together a performance summary for HR.,generate_report,
506,I need you to build an operations summary for payment-api-03.,generate_report,
507,I need you to prepare the reporting bundle for Engineering.,generate_report,
508,I need you to draft a metrics report for HR.,generate_report,
509,We should generate a report for Legal.,generate_report,
510,We should compile a summary for Marketing.,generate_report,
511,We should create an analytics report for cdn-edge-06.,generate_report,
512,We should produce a compliance report for Marketing.,generate_report,
513,We should put together a performance summary for Legal.,generate_report,
514,We should build an operations summary for ml-infer-05.,generate_report,
515,We should prepare the reporting bundle for Engineering.,generate_report,
516,We should draft a metrics report for Legal.,generate_report,
517,Let's generate a report for HR.,generate_report,
518,Let's compile a summary for Finance.,generate_report,
519,Let's create the analytics report for Marketing.,generate_report,
520,Let's produce a compliance report for Engineering.,generate_report,
521,Let's put together a performance summary for Legal.,generate_report,
522,Let's build a report package for Engineering.,generate_report,
523,Let's prepare the reporting bundle for HR.,generate_report,
524,Let's draft a metrics report for HR.,generate_report,
525,Kindly generate a diagnostics report for cdn-edge-06.,generate_report,
526,Kindly compile a summary for Finance.,generate_report,
527,Kindly create the analytics report for Marketing.,generate_report,
528,Kindly produce a compliance report for Legal.,generate_report,
529,Kindly put together a performance summary for Engineering.,generate_report,
530,Kindly build a report package for Marketing.,generate_report,
531,Kindly prepare the reporting bundle for HR.,generate_report,
532,Kindly draft a metrics report for Engineering.,generate_report,
533,"When you have a moment, generate a report for HR.",generate_report,
534,"When you have a moment, compile a summary for Marketing.",generate_report,
535,"When you have a moment, create an analytics report for cdn-edge-06.",generate_report,
536,refund transaction #42017.,process_refund,
537,process the refund for Charlie.,process_refund,
538,return the money to Diana.,process_refund,
539,credit Frank's account.,process_refund,
540,reverse the payment for Charlie.,process_refund,
541,send Eve a payout reversal.,process_refund,
542,refund the charge for Bob.,process_refund,
543,put the refund through for Bob.,process_refund,
544,Please refund transaction #42017.,process_refund,
545,Please process the refund for Frank.,process_refund,
546,Please return the money to Frank.,process_refund,
547,Please issue the refund linked to #60122.,process_refund,
548,Please reverse the payment for Bob.,process_refund,
549,Please send Eve a payout reversal.,process_refund,
550,Please refund the charge for Eve.,process_refund,
551,Please put the refund through for Charlie.,process_refund,
552,Can you refund transaction #42017?,process_refund,
553,Can you process the refund for Eve?,process_refund,
554,Can you process a refund for #10234?,process_refund,
555,Can you credit Charlie's account?,process_refund,
556,Can you reverse the payment for Charlie?,process_refund,
557,Can you send Bob a payout reversal?,process_refund,
558,Can you refund the charge for Diana?,process_refund,
559,Can you put the refund through for Grace?,process_refund,
560,Could you issue a refund to Eve for me?,process_refund,
561,Could you process the refund for Eve for me?,process_refund,
562,Could you return the money to Frank for me?,process_refund,
563,Could you credit Charlie's account for me?,process_refund,
564,Could you reverse the payment for Diana for me?,process_refund,
565,Could you send Diana a payout reversal for me?,process_refund,
566,Could you refund the charge for Frank for me?,process_refund,
567,Could you put the refund through for Bob for me?,process_refund,
568,I need you to refund transaction #53698.,process_refund,
569,I need you to process the refund for Diana.,process_refund,
570,I need you to process a refund for #60122.,process_refund,
571,I need you to issue the refund linked to #20891.,process_refund,
572,I need you to reverse the payment for Frank.,process_refund,
573,I need you to return the funds for #10234.,process_refund,
574,I need you to undo the charge associated with #31450.,process_refund,
575,I need you to put the refund through for Eve.,process_refund,
576,We should refund transaction #60122.,process_refund,
577,We should reverse the charge tied to #60122.,process_refund,
578,We should return the money to Eve.,process_refund,
579,We should credit Charlie's account.,process_refund,
580,We should reverse the payment for Grace.,process_refund,
581,We should send Grace a payout reversal.,process_refund,
582,We should refund the charge for Bob.,process_refund,
583,We should put the refund through for Frank.,process_refund,
584,Let's refund transaction #31450.,process_refund,
585,Let's process the refund for Bob.,process_refund,
586,Let's process a refund for #20891.,process_refund,
587,Let's credit Bob's account.,process_refund,
588,Let's reverse the payment for Alice.,process_refund,
589,Let's send Alice a payout reversal.,process_refund,
590,Let's undo the charge associated with #20891.,process_refund,
591,Let's put the refund through for Diana.,process_refund,
592,Kindly issue a refund to Eve.,process_refund,
593,Kindly process the refund for Grace.,process_refund,
594,Kindly process a refund for #10234.,process_refund,
595,Kindly credit Diana's account.,process_refund,
596,Kindly credit back the payment for #42017.,process_refund,
597,Kindly send Frank a payout reversal.,process_refund,
598,Kindly refund the charge for Eve.,process_refund,
599,Kindly put the refund through for Bob.,process_refund,
600,"When you have a moment, refund transaction #60122.",process_refund,
601,"When you have a moment, reverse the charge tied to #60122.",process_refund,
602,"When you have a moment, return the money to Diana.",process_refund,
603,update Diana's subscription plan.,update_subscription,
604,change Diana's billing tier.,update_subscription,
605,switch Bob to a different plan.,update_subscription,
606,modify Bob's subscription.,update_subscription,
607,adjust Frank's account plan.,update_subscription,
608,move Frank to the new billing plan.,update_subscription,
609,revise Alice's subscription tier.,update_subscription,
610,change the plan on Grace's account.,update_subscription,
611,Please update Grace's subscription plan.,update_subscription,
612,Please change Grace's billing tier.,update_subscription,
613,Please switch Alice to a different plan.,update_subscription,
614,Please modify Grace's subscription.,update_subscription,
615,Please adjust Diana's account plan.,update_subscription,
616,Please move Bob to the new billing plan.,update_subscription,
617,Please revise Bob's subscription tier.,update_subscription,
618,Please change the plan on Frank's account.,update_subscription,
619,Can you update Eve's subscription plan?,update_subscription,
620,Can you change Diana's billing tier?,update_subscription,
621,Can you switch Alice to a different plan?,update_subscription,
622,Can you modify Eve's subscription?,update_subscription,
623,Can you adjust Bob's account plan?,update_subscription,
624,Can you move Grace to the new billing plan?,update_subscription,
625,Can you revise Alice's subscription tier?,update_subscription,
626,Can you change the plan on Diana's account?,update_subscription,
627,Could you update Bob's subscription plan for me?,update_subscription,
628,Could you change Grace's billing tier for me?,update_subscription,
629,Could you switch Eve to a different plan for me?,update_subscription,
630,Could you modify Eve's subscription for me?,update_subscription,
631,Could you adjust Eve's account plan for me?,update_subscription,
632,Could you move Charlie to the new billing plan for me?,update_subscription,
633,Could you revise Grace's subscription tier for me?,update_subscription,
634,Could you change the plan on Diana's account for me?,update_subscription,
635,I need you to update Eve's subscription plan.,update_subscription,
636,I need you to change Grace's billing tier.,update_subscription,
637,I need you to switch Frank to a different plan.,update_subscription,
638,I need you to modify Eve's subscription.,update_subscription,
639,I need you to adjust Diana's account plan.,update_subscription,
640,I need you to move Grace to the new billing plan.,update_subscription,
641,I need you to revise Eve's subscription tier.,update_subscription,
642,I need you to change the plan on Diana's account.,update_subscription,
643,We should update Bob's subscription plan.,update_subscription,
644,We should change Frank's billing tier.,update_subscription,
645,We should switch Grace to a different plan.,update_subscription,
646,We should modify Diana's subscription.,update_subscription,
647,We should adjust Diana's account plan.,update_subscription,
648,We should move Charlie to the new billing plan.,update_subscription,
649,We should revise Grace's subscription tier.,update_subscription,
650,We should change the plan on Bob's account.,update_subscription,
651,Let's update Grace's subscription plan.,update_subscription,
652,Let's change Frank's billing tier.,update_subscription,
653,Let's switch Charlie to a different plan.,update_subscription,
654,Let's modify Grace's subscription.,update_subscription,
655,Let's adjust Grace's account plan.,update_subscription,
656,Let's move Eve to the new billing plan.,update_subscription,
657,Let's revise Diana's subscription tier.,update_subscription,
658,Let's change the plan on Charlie's account.,update_subscription,
659,Kindly update Diana's subscription plan.,update_subscription,
660,Kindly change Alice's billing tier.,update_subscription,
661,Kindly switch Frank to a different plan.,update_subscription,
662,Kindly modify Bob's subscription.,update_subscription,
663,Kindly adjust Charlie's account plan.,update_subscription,
664,Kindly move Charlie to the new billing plan.,update_subscription,
665,Kindly revise Charlie's subscription tier.,update_subscription,
666,Kindly change the plan on Eve's account.,update_subscription,
667,"When you have a moment, update Alice's subscription plan.",update_subscription,
668,"When you have a moment, change Bob's billing tier.",update_subscription,
669,"When you have a moment, switch Bob to a different plan.",update_subscription,
670,provision a new VM for Finance.,provision_vm,
671,spin up a virtual machine for Legal.,provision_vm,
672,launch a new instance for Finance.,provision_vm,
673,create a server for Finance.,provision_vm,
674,stand up a VM for Engineering.,provision_vm,
675,deploy a fresh virtual machine for Legal.,provision_vm,
676,bring up a compute instance for Marketing.,provision_vm,
677,allocate a new VM to HR.,provision_vm,
678,Please provision a new VM for Legal.,provision_vm,
679,Please spin up a virtual machine for Engineering.,provision_vm,
680,Please launch a new instance for Finance.,provision_vm,
681,Please create a server for Legal.,provision_vm,
682,Please stand up a VM for Legal.,provision_vm,
683,Please deploy a fresh virtual machine for HR.,provision_vm,
684,Please bring up a compute instance for Engineering.,provision_vm,
685,Please allocate a new VM to HR.,provision_vm,
686,Can you provision a new VM for Legal?,provision_vm,
687,Can you spin up a virtual machine for Legal?,provision_vm,
688,Can you launch a new instance for Engineering?,provision_vm,
689,Can you create a server for Marketing?,provision_vm,
690,Can you stand up a VM for Marketing?,provision_vm,
691,Can you deploy a fresh virtual machine for Legal?,provision_vm,
692,Can you bring up a compute instance for Legal?,provision_vm,
693,Can you allocate a new VM to HR?,provision_vm,
694,Could you provision a new VM for HR for me?,provision_vm,
695,Could you spin up a virtual machine for HR for me?,provision_vm,
696,Could you launch a new instance for Finance for me?,provision_vm,
697,Could you create a server for Legal for me?,provision_vm,
698,Could you stand up a VM for Finance for me?,provision_vm,
699,Could you deploy a fresh virtual machine for Marketing for me?,provision_vm,
700,Could you bring up a compute instance for Legal for me?,provision_vm,
701,Could you allocate a new VM to Legal for me?,provision_vm,
702,I need you to provision a new VM for Legal.,provision_vm,
703,I need you to spin up a virtual machine for Marketing.,provision_vm,
704,I need you to launch a new instance for Finance.,provision_vm,
705,I need you to create a server for Legal.,provision_vm,
706,I need you to stand up a VM for Finance.,provision_vm,
707,I need you to deploy a fresh virtual machine for HR.,provision_vm,
708,I need you to bring up a compute instance for HR.,provision_vm,
709,I need you to allocate a new VM to Engineering.,provision_vm,
710,We should provision a new VM for Legal.,provision_vm,
711,We should spin up a virtual machine for HR.,provision_vm,
712,We should launch a new instance for HR.,provision_vm,
713,We should create a server for Engineering.,provision_vm,
714,We should stand up a VM for Engineering.,provision_vm,
715,We should deploy a fresh virtual machine for Legal.,provision_vm,
716,We should bring up a compute instance for Legal.,provision_vm,
717,We should allocate a new VM to Finance.,provision_vm,
718,Let's provision a new VM for Marketing.,provision_vm,
719,Let's spin up a virtual machine for Legal.,provision_vm,
720,Let's launch a new instance for Marketing.,provision_vm,
721,Let's create a server for Finance.,provision_vm,
722,Let's stand up a VM for Legal.,provision_vm,
723,Let's deploy a fresh virtual machine for Marketing.,provision_vm,
724,Let's bring up a compute instance for Legal.,provision_vm,
725,Let's allocate a new VM to Marketing.,provision_vm,
726,Kindly provision a new VM for Legal.,provision_vm,
727,Kindly spin up a virtual machine for Marketing.,provision_vm,
728,Kindly launch a new instance for Engineering.,provision_vm,
729,Kindly create a server for Legal.,provision_vm,
730,Kindly stand up a VM for Engineering.,provision_vm,
731,Kindly deploy a fresh virtual machine for HR.,provision_vm,
732,Kindly bring up a compute instance for Engineering.,provision_vm,
733,Kindly allocate a new VM to Finance.,provision_vm,
734,"When you have a moment, provision a new VM for Engineering.",provision_vm,
735,"When you have a moment, spin up a virtual machine for Engineering.",provision_vm,
736,"When you have a moment, launch a new instance for Engineering.",provision_vm,
737,restart the service on staging-db-02.,restart_service,
738,reboot staging-db-02.,restart_service,
739,bounce the service running on prod-web-01.,restart_service,
740,cycle ml-infer-05.,restart_service,
741,restart staging-db-02's service process.,restart_service,
742,bring the service on staging-db-02 back up.,restart_service,
743,reload the service hosted on staging-db-02.,restart_service,
744,perform a service restart on auth-svc-04.,restart_service,
745,Please restart the service on cdn-edge-06.,restart_service,
746,Please reboot prod-web-01.,restart_service,
747,Please bounce the service running on ml-infer-05.,restart_service,
748,Please cycle staging-db-02.,restart_service,
749,Please restart cdn-edge-06's service process.,restart_service,
750,Please bring the service on payment-api-03 back up.,restart_service,
751,Please reload the service hosted on payment-api-03.,restart_service,
752,Please perform a service restart on staging-db-02.,restart_service,
753,Can you restart the service on ml-infer-05?,restart_service,
754,Can you reboot ml-infer-05?,restart_service,
755,Can you bounce the service running on cdn-edge-06?,restart_service,
756,Can you cycle cdn-edge-06?,restart_service,
757,Can you restart prod-web-01's service process?,restart_service,
758,Can you bring the service on staging-db-02 back up?,restart_service,
759,Can you reload the service hosted on payment-api-03?,restart_service,
760,Can you perform a service restart on prod-web-01?,restart_service,
761,Could you restart the service on ml-infer-05 for me?,restart_service,
762,Could you reboot prod-web-01 for me?,restart_service,
763,Could you bounce the service running on payment-api-03 for me?,restart_service,
764,Could you cycle ml-infer-05 for me?,restart_service,
765,Could you restart cdn-edge-06's service process for me?,restart_service,
766,Could you bring the service on auth-svc-04 back up for me?,restart_service,
767,Could you reload the service hosted on auth-svc-04 for me?,restart_service,
768,Could you perform a service restart on cdn-edge-06 for me?,restart_service,
769,I need you to restart the service on staging-db-02.,restart_service,
770,I need you to reboot prod-web-01.,restart_service,
771,I need you to bounce the service running on ml-infer-05.,restart_service,
772,I need you to cycle cdn-edge-06.,restart_service,
773,I need you to restart cdn-edge-06's service process.,restart_service,
774,I need you to bring the service on staging-db-02 back up.,restart_service,
775,I need you to reload the service hosted on prod-web-01.,restart_service,
776,I need you to perform a service restart on cdn-edge-06.,restart_service,
777,We should restart the service on payment-api-03.,restart_service,
778,We should reboot cdn-edge-06.,restart_service,
779,We should bounce the service running on ml-infer-05.,restart_service,
780,We should cycle prod-web-01.,restart_service,
781,We should restart ml-infer-05's service process.,restart_service,
782,We should bring the service on prod-web-01 back up.,restart_service,
783,We should reload the service hosted on payment-api-03.,restart_service,
784,We should perform a service restart on ml-infer-05.,restart_service,
785,Let's restart the service on auth-svc-04.,restart_service,
786,Let's reboot cdn-edge-06.,restart_service,
787,Let's bounce the service running on payment-api-03.,restart_service,
788,Let's cycle prod-web-01.,restart_service,
789,Let's restart ml-infer-05's service process.,restart_service,
790,Let's bring the service on prod-web-01 back up.,restart_service,
791,Let's reload the service hosted on auth-svc-04.,restart_service,
792,Let's perform a service restart on auth-svc-04.,restart_service,
793,Kindly restart the service on prod-web-01.,restart_service,
794,Kindly reboot auth-svc-04.,restart_service,
795,Kindly bounce the service running on payment-api-03.,restart_service,
796,Kindly cycle cdn-edge-06.,restart_service,
797,Kindly restart auth-svc-04's service process.,restart_service,
798,Kindly bring the service on cdn-edge-06 back up.,restart_service,
799,Kindly reload the service hosted on staging-db-02.,restart_service,
800,Kindly perform a service restart on auth-svc-04.,restart_service,
801,"When you have a moment, restart the service on staging-db-02.",restart_service,
802,"When you have a moment, reboot cdn-edge-06.",restart_service,
803,"When you have a moment, bounce the service running on ml-infer-05.",restart_service,
804,check the status of cdn-edge-06.,check_status,
805,verify whether payment-api-03 is healthy.,check_status,
806,see if ml-infer-05 is up.,check_status,
807,inspect the current state of ml-infer-05.,check_status,
808,look into auth-svc-04's health.,check_status,
809,confirm that auth-svc-04 is running normally.,check_status,
810,check whether cdn-edge-06 is operational.,check_status,
811,review the status of ml-infer-05.,check_status,
812,Please check the status of payment-api-03.,check_status,
813,Please verify whether staging-db-02 is healthy.,check_status,
814,Please see if prod-web-01 is up.,check_status,
815,Please inspect the current state of payment-api-03.,check_status,
816,Please look into auth-svc-04's health.,check_status,
817,Please confirm that staging-db-02 is running normally.,check_status,
818,Please check whether auth-svc-04 is operational.,check_status,
819,Please review the status of ml-infer-05.,check_status,
820,Can you check the status of ml-infer-05?,check_status,
821,Can you verify whether cdn-edge-06 is healthy?,check_status,
822,Can you see if auth-svc-04 is up?,check_status,
823,Can you inspect the current state of payment-api-03?,check_status,
824,Can you look into prod-web-01's health?,check_status,
825,Can you confirm that auth-svc-04 is running normally?,check_status,
826,Can you check whether payment-api-03 is operational?,check_status,
827,Can you review the status of auth-svc-04?,check_status,
828,Could you check the status of staging-db-02 for me?,check_status,
829,Could you verify whether payment-api-03 is healthy for me?,check_status,
830,Could you see if payment-api-03 is up for me?,check_status,
831,Could you inspect the current state of payment-api-03 for me?,check_status,
832,Could you look into ml-infer-05's health for me?,check_status,
833,Could you confirm that cdn-edge-06 is running normally for me?,check_status,
834,Could you check whether payment-api-03 is operational for me?,check_status,
835,Could you review the status of ml-infer-05 for me?,check_status,
836,I need you to check the status of ml-infer-05.,check_status,
837,I need you to verify whether staging-db-02 is healthy.,check_status,
838,I need you to see if staging-db-02 is up.,check_status,
839,I need you to inspect the current state of cdn-edge-06.,check_status,
840,I need you to look into auth-svc-04's health.,check_status,
841,I need you to confirm that ml-infer-05 is running normally.,check_status,
842,I need you to check whether staging-db-02 is operational.,check_status,
843,I need you to review the status of cdn-edge-06.,check_status,
844,We should check the status of auth-svc-04.,check_status,
845,We should verify whether cdn-edge-06 is healthy.,check_status,
846,We should see if cdn-edge-06 is up.,check_status,
847,We should inspect the current state of auth-svc-04.,check_status,
848,We should look into auth-svc-04's health.,check_status,
849,We should confirm that prod-web-01 is running normally.,check_status,
850,We should check whether payment-api-03 is operational.,check_status,
851,We should review the status of staging-db-02.,check_status,
852,Let's check the status of auth-svc-04.,check_status,
853,Let's verify whether cdn-edge-06 is healthy.,check_status,
854,Let's see if staging-db-02 is up.,check_status,
855,Let's inspect the current state of payment-api-03.,check_status,
856,Let's look into cdn-edge-06's health.,check_status,
857,Let's confirm that ml-infer-05 is running normally.,check_status,
858,Let's check whether payment-api-03 is operational.,check_status,
859,Let's review the status of auth-svc-04.,check_status,
860,Kindly check the status of ml-infer-05.,check_status,
861,Kindly verify whether payment-api-03 is healthy.,check_status,
862,Kindly see if auth-svc-04 is up.,check_status,
863,Kindly inspect the current state of cdn-edge-06.,check_status,
864,Kindly look into ml-infer-05's health.,check_status,
865,Kindly confirm that payment-api-03 is running normally.,check_status,
866,Kindly check whether payment-api-03 is operational.,check_status,
867,Kindly review the status of cdn-edge-06.,check_status,
868,"When you have a moment, check the status of auth-svc-04.",check_status,
869,"When you have a moment, verify whether payment-api-03 is healthy.",check_status,
870,"When you have a moment, see if payment-api-03 is up.",check_status,
871,escalate Alice's case to a human agent.,escalate_to_human,
872,get a human involved for Frank.,escalate_to_human,
873,route Bob's issue to the on-call engineer.,escalate_to_human,
874,route the issue to the Marketing manager.,escalate_to_human,
875,wake up the on-call for prod-web-01.,escalate_to_human,
876,hand the cdn-edge-06 case to an engineer.,escalate_to_human,
877,escalate this issue for Eve to the support team.,escalate_to_human,
878,bring a Finance manager into the loop.,escalate_to_human,
879,Please escalate Bob's case to a human agent.,escalate_to_human,
880,Please get a human involved for Bob.,escalate_to_human,
881,Please route the cdn-edge-06 incident to a live responder.,escalate_to_human,
882,Please hand Diana's request to a live agent.,escalate_to_human,
883,Please send Charlie's case for human review.,escalate_to_human,
884,Please loop in a manager for Frank.,escalate_to_human,
885,Please escalate this issue for Eve to the support team.,escalate_to_human,
886,Please transfer Grace's case to a person.,escalate_to_human,
887,Can you escalate the issue on ml-infer-05 to the on-call engineer?,escalate_to_human,
888,Can you get a human involved for Eve?,escalate_to_human,
889,Can you route Charlie's issue to the on-call engineer?,escalate_to_human,
890,Can you send the prod-web-01 issue for human handling?,escalate_to_human,
891,Can you send Grace's case for human review?,escalate_to_human,
892,Can you loop in a manager for Bob?,escalate_to_human,
893,Can you escalate this issue for Charlie to the support team?,escalate_to_human,
894,Can you transfer Bob's case to a person?,escalate_to_human,
895,Could you escalate Bob's case to a human agent for me?,escalate_to_human,
896,Could you get a human involved for Charlie for me?,escalate_to_human,
897,Could you route Alice's issue to the on-call engineer for me?,escalate_to_human,
898,Could you route the issue to the HR manager for me?,escalate_to_human,
899,Could you send Bob's case for human review for me?,escalate_to_human,
900,Could you escalate the request to someone in Marketing for me?,escalate_to_human,
901,Could you escalate this issue for Alice to the support team for me?,escalate_to_human,
902,Could you loop in a human for the prod-web-01 incident for me?,escalate_to_human,
903,I need you to escalate Eve's case to a human agent.,escalate_to_human,
904,I need you to get a human involved for Charlie.,escalate_to_human,
905,I need you to route Frank's issue to the on-call engineer.,escalate_to_human,
906,I need you to hand Bob's request to a live agent.,escalate_to_human,
907,I need you to get the Legal team lead involved.,escalate_to_human,
908,I need you to loop in a manager for Alice.,escalate_to_human,
909,I need you to escalate this issue for Grace to the support team.,escalate_to_human,
910,I need you to transfer Alice's case to a person.,escalate_to_human,
911,We should escalate Eve's case to a human agent.,escalate_to_human,
912,We should get a human involved for Charlie.,escalate_to_human,
913,We should route the auth-svc-04 incident to a live responder.,escalate_to_human,
914,We should hand Diana's request to a live agent.,escalate_to_human,
915,We should send Diana's case for human review.,escalate_to_human,
916,We should loop in a manager for Charlie.,escalate_to_human,
917,We should escalate this issue for Bob to the support team.,escalate_to_human,
918,We should bring a Engineering manager into the loop.,escalate_to_human,
919,Let's escalate Charlie's case to a human agent.,escalate_to_human,
920,Let's get a human involved for Grace.,escalate_to_human,
921,Let's route Diana's issue to the on-call engineer.,escalate_to_human,
922,Let's hand Alice's request to a live agent.,escalate_to_human,
923,Let's send Grace's case for human review.,escalate_to_human,
924,Let's loop in a manager for Alice.,escalate_to_human,
925,Let's escalate the alert on auth-svc-04 to a person.,escalate_to_human,
926,Let's transfer Alice's case to a person.,escalate_to_human,
927,Kindly escalate Eve's case to a human agent.,escalate_to_human,
928,Kindly get a human involved for Frank.,escalate_to_human,
929,Kindly route Frank's issue to the on-call engineer.,escalate_to_human,
930,Kindly hand Alice's request to a live agent.,escalate_to_human,
931,Kindly send Bob's case for human review.,escalate_to_human,
932,Kindly loop in a manager for Bob.,escalate_to_human,
933,Kindly escalate this issue for Charlie to the support team.,escalate_to_human,
934,Kindly transfer Alice's case to a person.,escalate_to_human,
935,"When you have a moment, escalate Bob's case to a human agent.",escalate_to_human,
936,"When you have a moment, get a human to review the problem on prod-web-01.",escalate_to_human,
937,"When you have a moment, route Eve's issue to the on-call engineer.",escalate_to_human,
938,log the event under the audit record for Legal.,log_audit_event,
939,record the activity tied to #53698.,log_audit_event,
940,write an audit entry for the HR group.,log_audit_event,
941,capture ml-infer-05's event in the audit log.,log_audit_event,
942,store an audit record for staging-db-02.,log_audit_event,
943,add Grace's action to the audit log.,log_audit_event,
944,document the event for HR in the audit log.,log_audit_event,
945,create a trail entry for auth-svc-04.,log_audit_event,
946,Please log an audit event for auth-svc-04.,log_audit_event,
947,Please record a compliance event for Legal.,log_audit_event,
948,Please write a compliance entry for payment-api-03.,log_audit_event,
949,Please capture Grace's activity in the compliance log.,log_audit_event,
950,Please store an audit record for ml-infer-05.,log_audit_event,
951,Please add a compliance record for Legal.,log_audit_event,
952,Please document the action taken on payment-api-03.,log_audit_event,
953,Please create a compliance log entry for Eve.,log_audit_event,
954,Can you log an audit event for #53698?,log_audit_event,
955,Can you record a compliance event for Engineering?,log_audit_event,
956,Can you write an audit entry for Eve?,log_audit_event,
957,Can you capture the Engineering event in the audit trail?,log_audit_event,
958,Can you store an audit record for Grace?,log_audit_event,
959,Can you add Bob's action to the audit log?,log_audit_event,
960,Can you document the action taken on staging-db-02?,log_audit_event,
961,Can you create an audit trail entry for #31450?,log_audit_event,
962,Could you log an audit event for cdn-edge-06 for me?,log_audit_event,
963,Could you record a compliance event for Engineering for me?,log_audit_event,
964,Could you write an audit entry for the Finance group for me?,log_audit_event,
965,Could you capture staging-db-02's event in the audit log for me?,log_audit_event,
966,Could you store an audit record for staging-db-02 for me?,log_audit_event,
967,Could you add Eve's action to the audit log for me?,log_audit_event,
968,Could you document the event for Alice in the audit trail for me?,log_audit_event,
969,Could you create a trail entry for staging-db-02 for me?,log_audit_event,
970,I need you to log an audit event for prod-web-01.,log_audit_event,
971,I need you to record a compliance event for Legal.,log_audit_event,
972,I need you to write a compliance entry for #42017.,log_audit_event,
973,I need you to capture the event associated with #60122.,log_audit_event,
974,I need you to store an audit record for Eve.,log_audit_event,
975,I need you to add an audit log entry for auth-svc-04.,log_audit_event,
976,I need you to document the event for Charlie in the audit trail.,log_audit_event,
977,I need you to create a trail entry for prod-web-01.,log_audit_event,
978,We should log an audit event for payment-api-03.,log_audit_event,
979,We should record the activity tied to #60122.,log_audit_event,
980,We should write a compliance entry for cdn-edge-06.,log_audit_event,
981,We should capture auth-svc-04's event in the audit log.,log_audit_event,
982,We should store an audit record for Frank.,log_audit_event,
983,We should add Bob's action to the audit log.,log_audit_event,
984,We should document the event linked to #31450.,log_audit_event,
985,We should create an audit trail entry for HR.,log_audit_event,
986,Let's log Frank's action in the audit trail.,log_audit_event,
987,Let's record an audit event for Diana.,log_audit_event,
988,Let's write an audit entry for Alice.,log_audit_event,
989,Let's capture ml-infer-05's event in the audit log.,log_audit_event,
990,Let's store an audit record for staging-db-02.,log_audit_event,
991,Let's add #31450 to the audit log.,log_audit_event,
992,Let's document the event for Grace in the audit trail.,log_audit_event,
993,Let's create an audit trail entry for #20891.,log_audit_event,
994,Kindly log an audit event for #10234.,log_audit_event,
995,Kindly record an audit event for Alice.,log_audit_event,
996,Kindly write an audit entry for Bob.,log_audit_event,
997,Kindly capture Grace's activity in the compliance log.,log_audit_event,
998,Kindly store an audit record for payment-api-03.,log_audit_event,
999,Kindly add an audit log entry for ml-infer-05.,log_audit_event,
1000,Kindly document the event for HR in the audit log.,log_audit_event,
1001,Kindly create a compliance log entry for Charlie.,log_audit_event,
1002,"When you have a moment, log an audit event for auth-svc-04.",log_audit_event,
1003,"When you have a moment, record the incident involving prod-web-01 in the audit trail.",log_audit_event,
1004,"When you have a moment, write an audit entry for the Legal group.",log_audit_event,
